name,born,height,weight,position,games_played,goals,assists,plus_minus,penalty_minutes,salary
Cody Bass,1987,72,205,C,9,0,0,-1,19,$575'000.00
Jay Beagle,1985,75,215,C,81,13,17,20,22,$1'750'000.00
Francois Beauchemin,1980,73,208,D,81,5,13,-14,32,$4'500'000.00
Nathan Beaulieu,1992,74,205,D,74,4,24,8,44,$1'000'000.00
Anthony Beauvillier,1997,71,170,C,66,9,15,1,10,$925'000.00
Taylor Beck,1991,74,203,LW,5,0,0,-3,4,$650'000.00
Matt Beleskey,1988,72,203,LW,49,3,5,-10,47,$4'000'000.00
Pierre-Edouard Bellemare,1985,72,198,LW,82,4,4,-1,20,$725'000.00
Jamie Benn,1989,74,210,LW,77,26,43,-9,66,$5'750'000.00
Jordie Benn,1987,74,200,D,71,4,13,-4,28,$1'100'000.00
Beau Bennett,1991,74,195,RW,65,8,11,-3,20,$725'000.00
Sam Bennett,1996,73,186,C,81,13,13,-16,75,$925'000.00
Matthew Benning,1994,73,195,D,62,3,12,8,29,$925'000.00
Patrice Bergeron,1985,73,195,C,79,21,32,12,24,$8'750'000.00
Patrik Berglund,1988,76,223,C,82,23,11,-7,32,$3'700'000.00
Christoph Bertschy,1994,70,186,C,5,0,1,0,4,$742'500.00
Tyler Bertuzzi,1995,72,198,LW,7,0,0,-1,0,$667'500.00
Bryan Bickell,1986,76,223,LW,11,1,0,-4,4,
Alex Biega,1988,70,193,D,36,0,3,-4,18,$700'000.00
Kevin Bieksa,1981,73,200,D,81,3,11,0,63,$4'000'000.00
Anthony Bitetto,1990,73,210,D,29,0,7,-1,25,$575'000.00
Oliver Bjorkstrand,1995,72,175,RW,26,6,7,4,6,$600'000.00
Nick Bjugstad,1992,78,218,C,54,7,7,-19,22,$3'350'000.00
Joseph Blandisi,1994,72,200,LW,27,3,6,-10,26,$715'000.00
Anton Blidh,1995,72,201,LW,19,1,1,-2,7,$792'500.00
Mike Blunden,1986,76,217,RW,2,0,0,0,4,$725'000.00
Mikkel Boedker,1989,72,210,LW,81,10,16,0,10,$5'200'000.00
Brock Boeser,1997,73,191,RW,9,4,1,0,0,$925'000.00
Zach Bogosian,1990,75,228,D,56,2,9,-17,46,$5'250'000.00
Jared Boll,1986,75,209,RW,51,0,3,-3,87,$900'000.00
Nick Bonino,1988,73,196,C,80,18,19,-5,16,$2'100'000.00
Mark Borowiecki,1989,73,216,D,70,1,2,-3,154,$1'100'000.00
Robert Bortuzzo,1989,76,221,D,38,1,3,11,15,$1'050'000.00
Reid Boucher,1993,70,195,C,39,6,4,-6,8,$715'000.00
Lance Bouma,1990,74,208,C,61,3,4,-2,35,$2'200'000.00
Michael Bournival,1992,71,198,LW,19,2,1,-3,2,$575'000.00
Gabriel Bourque,1990,70,206,LW,6,0,0,0,0,$800'000.00
Rene Bourque,1981,74,217,RW,65,12,6,-19,56,$650'000.00
Jay Bouwmeester,1983,76,221,D,81,1,14,6,28,$5'600'000.00
Johnny Boychuk,1984,74,227,D,66,6,17,11,19,$7'000'000.00
Brian Boyle,1984,78,244,C,75,13,12,3,66,$2'000'000.00
Tyler Bozak,1986,73,195,C,78,18,37,-1,30,$4'500'000.00
